0,1,2,3,4,5,6,7,8,9,10,11,12
0.2,0.96,-0.03,94,255,255,226,238,1023,0,1,1,1
0.19,1.0,0.01,68,255,255,228,240,1023,0,1,1,1
0.42,0.87,0.24,168,174,107,70,124,1023,0,1,1,1
0.41,0.86,0.24,168,186,110,73,118,1023,0,1,1,1
0.4,0.88,0.25,171,184,104,65,124,1020,0,1,1,1
0.42,0.86,0.23,166,191,112,76,123,1023,0,1,1,1
0.42,0.86,0.21,171,181,99,70,119,1022,0,1,1,1
0.41,0.87,0.23,168,189,110,74,124,1023,0,1,1,1
0.42,0.85,0.22,173,191,110,79,131,1023,0,1,1,1
0.39,0.9,0.28,145,173,96,70,113,1021,0,1,1,1
0.4,0.89,0.24,166,188,110,74,128,1023,0,1,1,1
0.39,0.9,0.25,171,179,104,77,124,1023,0,1,1,1
0.38,0.89,0.22,168,198,120,80,137,1023,0,1,1,1
0.39,0.89,0.24,168,179,110,79,132,1022,0,1,1,1
0.39,0.88,0.26,175,196,118,82,129,1023,0,1,1,1
0.39,0.88,0.25,178,188,113,79,134,1023,0,1,1,1
0.37,0.89,0.24,182,193,120,79,132,1023,0,1,1,1
0.36,0.89,0.28,166,194,118,79,132,1023,0,1,1,1
0.39,0.92,0.28,145,189,118,77,126,1023,0,1,1,1
0.39,0.89,0.26,175,203,128,82,136,1022,0,1,1,1
0.43,0.92,0.22,208,201,132,74,136,1023,0,1,1,1
0.4,0.86,0.19,194,201,124,79,132,1022,0,1,1,1
0.37,0.8,0.35,150,198,126,79,131,1023,0,1,1,1
0.28,0.88,0.41,145,186,110,76,119,1023,0,1,1,1
0.43,0.84,0.25,159,191,120,79,132,1023,0,1,1,1
0.48,0.84,0.24,168,188,118,73,128,1021,0,1,1,1
0.43,0.89,0.19,150,174,104,73,116,1021,0,1,1,1
0.44,0.88,0.22,166,186,113,76,126,1023,0,1,1,1
0.42,0.88,0.15,154,189,116,82,134,1023,0,1,1,1
0.45,0.89,0.18,154,188,113,70,131,1023,0,1,1,1
0.43,0.89,0.21,143,183,110,74,126,1022,0,1,1,1
0.45,0.87,0.19,157,183,108,74,121,1023,0,1,1,1
0.44,0.83,0.14,159,183,115,79,134,1023,0,1,1,1
0.46,0.88,0.19,131,189,115,77,126,1023,0,1,1,1
0.46,0.87,0.19,105,188,113,77,131,1022,0,1,1,1
0.45,0.88,0.22,105,189,113,77,132,1023,0,1,1,1
0.41,0.89,0.2,138,186,112,77,132,1023,0,1,1,1
0.4,0.88,0.19,168,194,112,79,126,1023,0,1,1,1
0.41,0.87,0.19,206,199,113,79,142,1021,0,1,1,1
0.34,0.94,0.21,194,198,115,76,137,1023,0,1,1,1
0.41,0.82,0.24,175,201,105,77,137,1021,0,1,1,1
0.27,0.75,0.15,182,204,123,80,137,1022,0,1,1,1
0.42,0.83,0.27,206,206,120,80,137,1023,0,1,1,1
0.4,0.93,0.22,192,201,120,77,139,1023,0,1,1,1
0.47,0.85,0.19,208,203,120,79,137,1023,0,1,1,1
0.4,0.85,0.17,210,201,116,80,141,1021,0,1,1,1
0.44,0.85,0.23,231,201,120,80,141,1023,0,1,1,1
0.39,0.85,0.23,110,206,120,83,141,1023,0,1,1,1
0.42,0.9,0.2,173,199,118,74,136,1023,0,1,1,1
0.44,0.87,0.18,180,204,126,80,139,1023,0,1,1,1
0.43,0.88,0.17,180,208,123,82,139,1023,0,1,1,1
0.43,0.88,0.21,210,201,121,82,144,1023,0,1,1,1
0.44,0.89,0.19,152,208,123,82,137,1023,0,1,1,1
0.45,0.82,0.17,180,208,123,83,144,1022,0,1,1,1
0.43,0.87,0.17,178,208,124,85,142,1023,0,1,1,1
0.45,0.87,0.16,178,194,120,83,142,1023,0,1,1,1
0.45,0.87,0.2,182,193,118,82,137,1023,0,1,1,1
0.43,0.9,0.19,182,194,116,82,139,1022,0,1,1,1
0.47,0.85,0.15,185,193,116,82,137,1023,0,1,1,1
0.46,0.89,0.17,154,198,113,83,142,1021,0,1,1,1
0.48,0.88,0.27,161,198,121,83,141,1023,0,1,1,1
0.43,0.89,0.22,171,198,120,83,141,1023,0,1,1,1
0.42,0.88,0.2,164,198,120,83,142,1023,0,1,1,1
0.45,0.86,0.19,175,198,120,77,141,1022,0,1,1,1
0.41,0.84,0.39,175,198,120,85,141,1022,0,1,1,1
0.4,0.86,0.33,180,199,121,82,141,1023,0,1,1,1
0.47,0.86,0.24,194,201,118,82,141,1023,0,1,1,1
0.64,0.77,0.12,192,198,118,79,139,1022,0,1,1,1
0.59,0.75,0.19,199,199,118,83,141,1023,0,1,1,1
0.58,0.8,0.13,213,201,120,83,142,1023,0,1,1,1
0.57,0.83,0.1,203,198,116,83,144,1023,0,1,1,1
0.58,0.82,0.18,175,201,118,82,141,1023,0,1,1,1
0.58,0.82,0.15,187,201,118,83,142,1023,0,1,1,1
0.57,0.8,0.14,194,204,115,85,142,1023,0,1,1,1
0.58,0.81,0.12,194,196,118,82,145,1023,0,1,1,1
0.6,0.8,0.13,194,204,118,82,137,1023,0,1,1,1
0.57,0.82,0.13,199,203,116,82,144,1020,0,1,1,1
0.54,0.85,0.14,201,204,113,85,144,1023,0,1,1,1
0.44,0.92,0.17,203,199,113,82,145,1023,0,1,1,1
0.44,0.86,0.16,203,201,115,80,137,1023,0,1,1,1
0.5,0.85,0.24,201,203,115,80,145,1022,0,1,1,1
0.57,0.77,0.2,203,201,118,79,144,1023,0,1,1,1
0.52,0.82,0.18,210,201,107,80,142,1021,0,1,1,1
0.49,0.84,0.23,213,201,116,80,142,1022,0,1,1,1
0.49,0.84,0.19,210,199,113,85,142,1023,0,1,1,1
0.46,0.85,0.23,208,199,113,80,137,1023,0,1,1,1
0.48,0.87,0.23,215,201,113,79,141,1022,0,1,1,1
0.5,0.83,0.18,229,203,118,80,142,1023,0,1,1,1
0.49,0.86,0.2,234,199,116,80,142,1023,0,1,1,1
0.47,0.84,0.2,224,201,115,80,142,1023,0,1,1,1
0.45,0.89,0.19,231,201,115,77,141,1023,0,1,1,1
0.5,0.79,0.19,227,203,112,80,142,1023,0,1,1,1
0.51,0.82,0.19,229,203,113,80,141,1023,0,1,1,1
0.49,0.84,0.23,229,199,113,82,141,1023,0,1,1,1
0.52,0.84,0.22,231,203,115,80,139,1023,0,1,1,1
0.49,0.85,0.22,231,201,113,82,141,1023,0,1,1,1
0.46,0.84,0.21,227,204,112,82,141,1023,0,1,1,1
0.48,0.84,0.2,227,199,112,79,142,1022,0,1,1,1
0.49,0.83,0.2,227,204,113,80,137,1023,0,1,1,1
0.49,0.85,0.21,224,201,113,79,141,1020,0,1,1,1
0.49,0.84,0.23,227,203,116,77,139,1023,0,1,1,1
0.48,0.84,0.22,227,203,108,79,139,1021,0,1,1,1
0.24,0.95,0.13,56,255,89,39,54,843,0,1,1,1
0.24,0.95,0.13,52,255,89,39,57,844,0,1,1,1
0.24,0.96,0.14,56,255,88,39,57,844,0,1,1,1
0.25,0.94,0.14,54,255,89,43,56,845,0,1,1,1
0.23,0.94,0.13,52,255,88,43,54,844,0,1,1,1
0.24,0.96,0.14,52,255,91,39,57,843,0,1,1,1
0.25,0.96,0.13,52,255,88,42,57,846,0,1,1,1
0.24,0.95,0.13,56,255,89,33,57,844,0,1,1,1
0.24,0.95,0.14,52,255,91,39,59,844,0,1,1,1
0.24,0.95,0.14,52,255,88,39,62,844,0,1,1,1
0.24,0.95,0.14,52,255,91,40,59,845,0,1,1,1
0.25,0.93,0.13,52,255,94,39,62,845,0,1,1,1
0.22,0.97,0.15,54,255,91,40,59,843,0,1,1,1
0.25,0.95,0.15,52,255,91,40,61,844,0,1,1,1
0.24,0.94,0.16,54,255,91,39,57,844,0,1,1,1
0.24,0.94,0.19,56,255,93,40,59,842,0,1,1,1
0.28,0.99,0.19,49,255,89,40,61,843,0,1,1,1
0.22,0.94,0.15,49,255,91,40,62,845,0,1,1,1
0.25,0.92,0.16,52,255,91,43,59,844,0,1,1,1
0.24,0.95,0.18,52,255,91,40,61,844,0,1,1,1
0.23,0.96,0.18,45,255,91,43,57,844,0,1,1,1
0.25,0.95,0.17,52,255,94,40,61,844,0,1,1,1
0.25,0.95,0.15,49,255,89,43,61,845,0,1,1,1
0.21,0.94,0.2,54,255,96,37,56,844,0,1,1,1
0.27,0.95,0.09,56,255,99,39,64,844,0,1,1,1
0.24,0.93,0.17,49,255,89,39,64,843,0,1,1,1
0.2,0.96,0.19,47,255,96,40,64,845,0,1,1,1
0.23,0.95,0.17,52,255,94,40,64,844,0,1,1,1
0.22,0.94,0.17,49,255,96,40,67,845,0,1,1,1
0.23,0.95,0.14,54,255,94,40,66,844,0,1,1,1
0.22,0.96,0.17,54,255,85,40,67,845,0,1,1,1
0.25,0.95,0.15,52,255,86,43,59,844,0,1,1,1
0.22,0.95,0.17,54,255,88,40,62,844,0,1,1,1
0.22,0.95,0.17,42,255,88,43,61,846,0,1,1,1
0.23,0.96,0.17,54,255,89,42,64,844,0,1,1,1
0.23,0.95,0.17,52,255,88,45,67,847,0,1,1,1
0.22,0.96,0.17,54,255,91,40,64,844,0,1,1,1
0.23,0.96,0.15,49,255,88,40,64,846,0,1,1,1
0.23,0.96,0.17,52,255,91,42,66,844,0,1,1,1
0.23,0.94,0.17,49,255,89,42,64,845,0,1,1,1
0.23,0.95,0.17,52,255,89,42,66,844,0,1,1,1
0.24,0.94,0.17,49,255,91,39,66,845,0,1,1,1
0.23,0.94,0.17,49,255,88,42,66,844,0,1,1,1
0.24,0.95,0.17,49,255,88,42,66,844,0,1,1,1
0.23,0.95,0.17,49,255,88,39,64,844,0,1,1,1
0.23,0.96,0.17,49,255,88,42,66,844,0,1,1,1
0.23,0.94,0.17,52,255,89,39,64,842,0,1,1,1
0.24,0.94,0.16,52,255,91,42,66,844,0,1,1,1
0.23,0.95,0.18,54,255,89,36,64,844,0,1,1,1
0.23,0.94,0.16,56,255,93,42,66,843,0,1,1,1
0.23,0.94,0.17,52,255,89,39,64,842,0,1,1,1
0.22,0.94,0.17,49,255,89,43,62,844,0,1,1,1
0.23,0.94,0.16,52,255,88,40,64,844,0,1,1,1
0.23,0.95,0.16,52,255,91,42,66,842,0,1,1,1
0.24,0.95,0.15,52,255,86,42,66,844,0,1,1,1
0.23,0.95,0.17,47,255,91,42,67,843,0,1,1,1
0.22,0.95,0.17,49,255,86,42,66,844,0,1,1,1
0.23,0.95,0.18,49,255,93,42,69,844,0,1,1,1
0.22,0.94,0.18,49,255,86,42,67,844,0,1,1,1
0.23,0.94,0.18,47,255,91,43,69,845,0,1,1,1
0.23,0.95,0.18,52,255,89,42,67,844,0,1,1,1
0.23,0.95,0.15,49,255,91,42,67,845,0,1,1,1
0.2,0.97,0.17,52,255,91,42,69,844,0,1,1,1
0.21,0.95,0.18,56,255,94,43,66,846,0,1,1,1
0.21,0.96,0.18,52,255,89,42,71,844,0,1,1,1
0.18,0.96,0.21,52,255,93,46,66,844,0,1,1,1
0.16,0.97,0.21,52,255,91,42,66,844,0,1,1,1
0.19,0.95,0.2,56,255,91,43,67,842,0,1,1,1
0.2,0.95,0.17,52,255,91,43,69,843,0,1,1,1
0.2,0.96,0.18,54,255,91,43,66,842,0,1,1,1
0.22,0.96,0.16,52,255,91,45,66,844,0,1,1,1
0.22,0.94,0.17,52,255,91,45,66,842,0,1,1,1
0.22,0.95,0.17,45,255,91,46,64,844,0,1,1,1
0.21,0.96,0.17,54,255,94,43,67,844,0,1,1,1
0.22,0.95,0.17,42,255,91,46,62,845,0,1,1,1
0.23,0.94,0.18,52,255,93,45,66,844,0,1,1,1
0.22,0.95,0.17,49,255,94,45,67,847,0,1,1,1
0.21,0.95,0.18,54,255,94,43,67,844,0,1,1,1
0.22,0.95,0.17,49,255,85,42,69,847,0,1,1,1
0.2,0.95,0.17,54,255,91,43,67,844,0,1,1,1
0.21,0.95,0.15,54,255,91,42,69,845,0,1,1,1
0.22,0.95,0.17,54,255,91,43,66,844,0,1,1,1
0.21,0.96,0.16,52,255,93,42,67,845,0,1,1,1
0.21,0.95,0.17,54,255,89,43,66,844,0,1,1,1
0.21,0.95,0.17,52,255,93,43,67,845,0,1,1,1
0.22,0.96,0.16,54,255,89,43,61,844,0,1,1,1
0.2,0.95,0.16,54,255,89,46,66,844,0,1,1,1
