0,1,2,3,4,5,6,7,8,9,10,11,12
-0.97,0.07,0.02,78,255,255,100,102,1017,0,0,0,1
-0.96,0.07,0.02,74,255,255,101,102,1018,0,0,0,1
-0.96,0.06,0.03,74,255,255,100,102,1017,0,0,0,1
-0.96,0.06,0.03,74,255,255,100,104,1017,0,0,0,1
-0.96,0.06,0.02,71,255,255,105,102,1018,0,0,0,1
-0.96,0.06,0.0,76,255,255,98,98,1017,0,0,0,1
-0.97,0.06,0.02,81,255,255,98,102,1017,0,0,0,1
-0.97,0.06,0.03,76,255,255,98,108,1018,0,0,0,1
-0.92,0.06,0.01,74,255,255,100,107,1017,0,0,0,1
-0.96,0.08,0.01,78,255,255,98,107,1017,0,0,0,1
-0.97,0.07,0.01,76,255,255,100,107,1017,0,0,0,1
-0.96,0.07,0.02,76,255,255,100,108,1016,0,0,0,1
-0.95,0.06,0.02,81,255,255,100,108,1016,0,0,0,1
-0.95,0.08,0.02,76,255,255,98,107,1017,0,0,0,1
-0.97,0.07,0.01,76,255,255,100,110,1017,0,0,0,1
-0.95,0.08,0.01,74,255,255,98,108,1017,0,0,0,1
-0.96,0.05,0.01,76,255,255,98,110,1018,0,0,0,1
-0.96,0.06,0.02,76,255,255,98,110,1018,0,0,0,1
-0.96,0.07,0.02,76,255,255,100,110,1017,0,0,0,1
-0.96,0.07,0.02,78,255,255,97,113,1015,0,0,0,1
-0.96,0.06,0.02,76,255,255,98,112,1014,0,0,0,1
-0.96,0.06,-0.0,76,255,255,98,110,1017,0,0,0,1
-0.95,0.06,0.01,76,255,255,97,110,1014,0,0,0,1
-0.96,0.07,0.01,76,255,255,98,110,1018,0,0,0,1
-0.96,0.05,0.01,78,255,255,98,110,1021,0,0,0,1
-0.96,0.06,0.01,78,255,255,97,110,1016,0,0,0,1
-0.96,0.06,0.02,83,255,255,98,112,1017,0,0,0,1
-0.96,0.06,0.02,76,255,255,94,113,1018,0,0,0,1
-0.95,0.06,0.02,83,255,255,92,110,1017,0,0,0,1
-0.96,0.06,0.01,74,255,255,97,113,1015,0,0,0,1
-0.96,0.06,0.01,69,255,255,100,108,1017,0,0,0,1
-0.97,0.06,0.02,78,255,255,97,105,1018,0,0,0,1
